,Request.id,Pickup.point,Driver.id,Status,Request.timestamp,Drop.timestamp,Request.Hour,Drop.Hour,TimeSlot
1,619,Airport,1,Trip Completed,7/11/2016 11:51,7/11/2016 13:00,11,13,Morning(09-11)
2,867,Airport,1,Trip Completed,7/11/2016 17:57,7/11/2016 18:47,17,18,Late evening(17-21)
3,1807,City,1,Trip Completed,7/12/2016 9:17,7/12/2016 9:58,9,9,Morning(09-11)
4,2532,Airport,1,Trip Completed,7/12/2016 21:08,7/12/2016 22:03,21,22,Late evening(17-21)
5,3112,City,1,Trip Completed,7/13/2016 8:33,7/13/2016 9:25,8,9,Early morning(05-08)
6,3879,Airport,1,Trip Completed,7/13/2016 21:57,7/13/2016 22:28,21,22,Late evening(17-21)
7,4270,Airport,1,Trip Completed,7/14/2016 6:15,7/14/2016 7:13,6,7,Early morning(05-08)
8,5510,Airport,1,Trip Completed,7/15/2016 5:11,7/15/2016 6:07,5,6,Early morning(05-08)
9,6248,City,1,Trip Completed,7/15/2016 17:57,7/15/2016 18:50,17,18,Late evening(17-21)
10,267,City,2,Trip Completed,7/11/2016 6:46,7/11/2016 7:25,6,7,Early morning(05-08)
11,1467,Airport,2,Trip Completed,7/12/2016 5:08,7/12/2016 6:02,5,6,Early morning(05-08)
12,1983,City,2,Trip Completed,7/12/2016 12:30,7/12/2016 12:57,12,12,Afternoon(12-16)
13,2784,Airport,2,Trip Completed,7/13/2016 4:49,7/13/2016 5:23,4,5,Mid-night(00-04)
14,3075,City,2,Trip Completed,7/13/2016 8:02,7/13/2016 9:16,8,9,Early morning(05-08)
15,3379,City,2,Trip Completed,7/13/2016 14:23,7/13/2016 15:35,14,15,Afternoon(12-16)
16,3482,Airport,2,Trip Completed,7/13/2016 17:23,7/13/2016 18:20,17,18,Late evening(17-21)
17,4652,City,2,Trip Completed,7/14/2016 12:01,7/14/2016 12:36,12,12,Afternoon(12-16)
18,5335,Airport,2,Trip Completed,7/14/2016 22:24,7/14/2016 23:18,22,23,Night(22-24)
19,535,Airport,3,Trip Completed,7/11/2016 10:00,7/11/2016 10:31,10,10,Morning(09-11)
20,960,Airport,3,Trip Completed,7/11/2016 18:45,7/11/2016 19:23,18,19,Late evening(17-21)
21,1934,Airport,3,Trip Completed,7/12/2016 11:17,7/12/2016 12:23,11,12,Morning(09-11)
22,2083,Airport,3,Trip Completed,7/12/2016 15:46,7/12/2016 16:40,15,16,Afternoon(12-16)
23,2211,Airport,3,Trip Completed,7/12/2016 18:00,7/12/2016 18:28,18,18,Late evening(17-21)
24,3096,Airport,3,Trip Completed,7/13/2016 8:17,7/13/2016 9:22,8,9,Early morning(05-08)
25,3881,Airport,3,Trip Completed,7/13/2016 21:54,7/13/2016 22:51,21,22,Late evening(17-21)
26,5254,City,3,Trip Completed,7/14/2016 21:23,7/14/2016 22:25,21,22,Late evening(17-21)
27,5434,City,3,Trip Completed,7/15/2016 2:41,7/15/2016 3:24,2,3,Mid-night(00-04)
28,5916,City,3,Trip Completed,7/15/2016 10:00,7/15/2016 10:53,10,10,Morning(09-11)
29,669,City,4,Trip Completed,7/11/2016 13:08,7/11/2016 13:49,13,13,Afternoon(12-16)
30,1567,Airport,4,Trip Completed,7/12/2016 6:21,7/12/2016 7:10,6,7,Early morning(05-08)
31,1826,City,4,Trip Completed,7/12/2016 9:27,7/12/2016 10:27,9,10,Morning(09-11)
32,2102,City,4,Trip Completed,7/12/2016 16:09,7/12/2016 17:01,16,17,Afternoon(12-16)
33,2847,Airport,4,Trip Completed,7/13/2016 5:34,7/13/2016 6:09,5,6,Early morning(05-08)
34,3722,Airport,4,Trip Completed,7/13/2016 19:57,7/13/2016 20:32,19,20,Late evening(17-21)
35,4075,City,4,Trip Completed,7/14/2016 2:17,7/14/2016 3:21,2,3,Mid-night(00-04)
36,4686,City,4,Trip Completed,7/14/2016 13:01,7/14/2016 13:45,13,13,Afternoon(12-16)
